t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.0108,0,0,move,-1,0.0108,0.0235,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.791,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,11.30,32.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.1045,1,0,move,-1,0.1045,0.1160,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.439,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,11.30,32.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.2043,2,0,move,-1,0.2043,0.2166,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.264,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,3.2,11.30,33.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
0.3045,3,0,move,-1,0.3045,0.3160,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.264,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,3.2,11.30,33.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
0.4045,4,0,move,-1,0.4045,0.4167,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.264,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.20,30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.013,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.006
0.5043,5,0,move,-1,0.5043,0.5156,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.264,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.20,30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.013,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.006
0.6045,6,0,move,-1,0.6045,0.6111,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.176,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,4.8,11.30,32.0,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.013,0.000
0.7043,7,0,move,-1,0.7043,0.7154,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.176,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,3.2,11.20,33.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
0.8045,8,0,move,-1,0.8045,0.8170,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.176,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,2.4,11.30,33.0,0.000,0.000,0.006,0.006,0.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
0.9043,9,0,move,-1,0.9043,0.9153,0,0.000,0.000,0.176,-0.264,-0.088,0.088,-0.264,0.176,0.264,0.000,0.000,-0.088,-0.088,0.176,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,2.4,11.30,33.0,0.000,0.000,0.006,0.006,0.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
